Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",-345.821000,-74.041000,90.000000,bottom
"C2","0.1uF","C_0805_2012Metric",-334.735249,-73.496249,135.000000,bottom
"C3","0.1uF","C_0805_2012Metric",-348.742000,-90.993000,270.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-338.008000,-92.837000,225.000000,bottom
"C5","10uF","C_0805_2012Metric",-326.861249,-77.179249,135.000000,bottom
"C6","22pF","C_0805_2012Metric",-355.981000,-74.615000,90.000000,bottom
"C7","22pF","C_0805_2012Metric",-348.742000,-74.610000,270.000000,bottom
"C8","1uF","C_0805_2012Metric",-328.610000,-73.152000,180.000000,bottom
"D1","1N4148","D_SOD-123",-74.549000,-70.232000,90.000000,bottom
"D2","1N4148","D_SOD-123",-93.599000,-70.231000,90.000000,bottom
"D3","1N4148","D_SOD-123",-112.680750,-70.230000,90.000000,bottom
"D4","1N4148","D_SOD-123",-119.888000,-70.230000,90.000000,bottom
"D5","1N4148","D_SOD-123",-160.274000,-70.231000,90.000000,bottom
"D6","1N4148","D_SOD-123",-179.324000,-70.232000,90.000000,bottom
"D7","1N4148","D_SOD-123",-198.374000,-70.230000,90.000000,bottom
"D8","1N4148","D_SOD-123",-217.424000,-70.231000,90.000000,bottom
"D9","1N4148","D_SOD-123",-236.474000,-70.230000,90.000000,bottom
"D10","1N4148","D_SOD-123",-255.524000,-70.230000,90.000000,bottom
"D11","1N4148","D_SOD-123",-274.574000,-70.231000,90.000000,bottom
"D12","1N4148","D_SOD-123",-293.624000,-70.230000,90.000000,bottom
"D13","1N4148","D_SOD-123",-312.674000,-70.230000,90.000000,bottom
"D14","1N4148","D_SOD-123",-331.724000,-70.230000,90.000000,bottom
"D15","1N4148","D_SOD-123",-350.774000,-70.232000,90.000000,bottom
"D16","1N4148","D_SOD-123",-369.824000,-70.232000,90.000000,bottom
"D17","1N4148","D_SOD-123",-74.549000,-89.282000,90.000000,bottom
"D18","1N4148","D_SOD-123",-93.599000,-89.281000,90.000000,bottom
"D19","1N4148","D_SOD-123",-112.649000,-89.282000,90.000000,bottom
"D20","1N4148","D_SOD-123",-136.398000,-89.280000,90.000000,bottom
"D21","1N4148","D_SOD-123",-162.814000,-89.280000,90.000000,bottom
"D22","1N4148","D_SOD-123",-184.150000,-89.280000,90.000000,bottom
"D23","1N4148","D_SOD-123",-203.200000,-89.280000,90.000000,bottom
"D24","1N4148","D_SOD-123",-222.250000,-89.280000,90.000000,bottom
"D25","1N4148","D_SOD-123",-241.300000,-89.280000,90.000000,bottom
"D26","1N4148","D_SOD-123",-260.350000,-89.280000,90.000000,bottom
"D27","1N4148","D_SOD-123",-279.400000,-89.280000,90.000000,bottom
"D28","1N4148","D_SOD-123",-298.450000,-89.280000,90.000000,bottom
"D29","1N4148","D_SOD-123",-317.500000,-89.280000,90.000000,bottom
"D30","1N4148","D_SOD-123",-320.040000,-89.280000,90.000000,bottom
"D31","1N4148","D_SOD-123",-362.839000,-89.280000,90.000000,bottom
"D32","1N4148","D_SOD-123",-74.549000,-108.332000,90.000000,bottom
"D33","1N4148","D_SOD-123",-93.599000,-108.330000,90.000000,bottom
"D34","1N4148","D_SOD-123",-112.649000,-108.330000,90.000000,bottom
"D35","1N4148","D_SOD-123",-136.525000,-113.158000,90.000000,bottom
"D36","1N4148","D_SOD-123",-167.640000,-108.332000,90.000000,bottom
"D37","1N4148","D_SOD-123",-193.675000,-108.330000,90.000000,bottom
"D38","1N4148","D_SOD-123",-212.725000,-108.330000,90.000000,bottom
"D39","1N4148","D_SOD-123",-231.775000,-108.332000,90.000000,bottom
"D40","1N4148","D_SOD-123",-250.825000,-108.330000,90.000000,bottom
"D41","1N4148","D_SOD-123",-269.875000,-108.330000,90.000000,bottom
"D42","1N4148","D_SOD-123",-288.925000,-108.330000,90.000000,bottom
"D43","1N4148","D_SOD-123",-307.975000,-108.330000,90.000000,bottom
"D44","1N4148","D_SOD-123",-327.025000,-108.330000,90.000000,bottom
"D45","1N4148","D_SOD-123",-346.075000,-108.330000,90.000000,bottom
"D46","1N4148","D_SOD-123",-367.538000,-108.331000,90.000000,bottom
"D47","1N4148","D_SOD-123",-80.009000,-129.032000,180.000000,bottom
"D48","1N4148","D_SOD-123",-93.599000,-127.380000,90.000000,bottom
"D49","1N4148","D_SOD-123",-117.475000,-132.208000,90.000000,bottom
"D50","1N4148","D_SOD-123",-136.525000,-132.208000,90.000000,bottom
"D51","1N4148","D_SOD-123",-155.575000,-132.206000,90.000000,bottom
"D52","1N4148","D_SOD-123",-181.737000,-127.380000,90.000000,bottom
"D53","1N4148","D_SOD-123",-205.613000,-127.380000,90.000000,bottom
"D54","1N4148","D_SOD-123",-239.014000,-127.380000,90.000000,bottom
"D55","1N4148","D_SOD-123",-286.512000,-127.382000,90.000000,bottom
"D56","1N4148","D_SOD-123",-324.612000,-127.382000,90.000000,bottom
"D57","1N4148","D_SOD-123",-346.075000,-127.380000,90.000000,bottom
"D58","1N4148","D_SOD-123",-367.538000,-127.380000,90.000000,bottom
"D59","PRTR5V0U2X","SOT143B",-140.605000,-69.088000,180.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",-148.206000,-78.105000,180.000000,bottom
"R1","10k","R_0805_2012Metric",-333.478500,-63.881000,0.000000,bottom
"R2","10k","R_0805_2012Metric",-348.869000,-95.400500,90.000000,bottom
"R3","5.1k","R_0805_2012Metric",-136.525000,-71.858500,90.000000,bottom
"R4","5.1k","R_0805_2012Metric",-143.891000,-71.858500,90.000000,bottom
"R5","22","R_0805_2012Metric",-176.426500,-76.962000,180.000000,bottom
"R6","22","R_0805_2012Metric",-176.426500,-75.057000,180.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",-341.178750,-81.590750,315.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",-140.081000,-55.499000,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",-352.595000,-74.588000,180.000000,bottom
